,No Drift,State Change: va,State Change: po,State Change: sib,State Change: pp,State Change: All,No Drift_std,State Change: va_std,State Change: po_std,State Change: sib_std,State Change: pp_std,State Change: All_std
0,-3.2,-1.2,-7.8,-3.0,-8.8,-0.4,3.1874754901018454,3.919183588453085,6.241794613730894,3.63318042491699,8.423775875461075,0.7999999999999999
1,-3.2,-5.4,-4.4,-1.8,-0.8,-7.4,2.7856776554368237,10.32666451474047,6.086049621881176,2.1354156504062622,0.7483314773547883,6.086049621881176
2,-6.4,-4.8,-1.4,-2.4,-1.2,-3.8,11.377170122662314,5.706137047074842,1.854723699099141,3.1368774282716245,1.7204650534085253,4.534313619501853
3,-6.2,-2.8,-3.2,-1.4,-5.2,-2.0,7.88416133777081,4.955804677345546,6.584831053261731,2.416609194718914,5.775811631277461,2.5298221281347035
4,-2.2,-7.8,-4.4,-2.4,-5.0,-2.0,2.7856776554368237,9.108238029388561,6.086049621881176,5.351635264103861,4.049691346263317,2.0976176963403033
5,-1.2,-2.4,-2.0,-2.4,-0.8,0.6,2.85657137141714,4.079215610874227,2.0976176963403033,2.870540018881465,1.9390719429665317,0.48989794855663565
6,-1.8,-4.2,-2.4,-6.8,-7.0,-2.6,1.9390719429665315,4.955804677345547,2.154065922853802,7.277362159464101,6.663332499583072,4.317406628984581
7,-3.8,-2.6,-3.2,-4.6,-11.0,-2.2,3.54400902933387,4.317406628984581,3.1874754901018454,3.7202150475476548,12.345039489608771,3.1874754901018454
8,-1.8,-4.4,-2.6,-1.0,-3.4,-3.0,3.655133376499413,6.216108107168021,4.127953488110059,1.7888543819998317,2.9393876913398143,4.427188724235731
9,-0.8,-4.6,-6.6,0.0,-4.4,-1.0,2.638181191654584,4.363484845854286,7.787168933572714,0.6324555320336759,4.498888751680798,2.0976176963403033
10,-0.8,-2.0,-0.8,-2.8,-5.6,-7.2,1.8330302779823362,3.794733192202055,1.32664991614216,3.4871191548325386,4.454211490264017,7.19444229944198
11,-6.6,-1.0,-3.0,-2.2,-5.2,-4.4,11.39473562659529,2.0976176963403033,6.603029607687671,2.2271057451320084,7.166589146867567,6.216108107168021
12,-7.6,-0.2,-3.2,-7.0,0.0,-2.6,6.1838499334961226,0.4000000000000001,5.114684741017769,9.011104260855047,1.0954451150103321,3.6110940170535577
13,-7.8,-1.8,-1.0,-6.4,0.4,0.6,5.491812087098393,3.919183588453085,4.0,7.391887445030531,0.48989794855663565,0.8
14,-0.6,-1.2,-11.4,-1.8,0.0,-4.6,1.8547236990991407,2.9257477676655586,10.131140113531153,2.3151673805580453,2.0,5.607138307550474
15,-2.8,-2.0,-1.6,-9.0,-3.6,-3.8,5.455272678794342,2.0,4.715930449020639,8.414273587185052,3.878143885933063,4.069397989875161
16,-0.8,-0.6,-5.0,-2.8,-10.8,0.2,1.7204650534085255,1.019803902718557,3.63318042491699,3.8678159211627436,5.491812087098392,0.7483314773547883
17,-0.4,-4.0,-3.0,-2.8,0.0,-2.4,1.4966629547095764,4.857983120596447,3.40587727318528,3.9698866482558417,0.6324555320336759,3.97994974842648
18,-2.8,0.0,-2.0,-0.6,-3.8,-0.4,2.4,1.5491933384829668,2.898275349237888,2.3323807579381204,5.035871324805668,1.8547236990991407
19,-7.6,-5.0,-7.8,-2.6,-7.4,-5.0,5.71314274283428,7.014271166700073,6.794115100585212,4.715930449020639,9.991996797437437,11.50651989091402
20,-5.6,-2.2,-0.2,-7.4,0.0,-1.4,9.046546302318914,2.4,1.4696938456699067,8.73155198117723,0.6324555320336759,2.4166091947189146
21,-2.8,-1.2,0.2,-4.2,-0.2,-3.0,3.9698866482558417,2.993325909419153,0.7483314773547883,6.615134163416491,1.16619037896906,4.774934554525329
22,-1.8,-2.6,-9.0,-0.8,-1.0,-7.0,3.6000000000000005,5.71314274283428,9.939818911831342,0.7483314773547883,1.5491933384829668,4.147288270665544
23,-1.6,-1.8,-1.2,0.2,-8.4,-3.2,3.7735924528226414,3.6551333764994136,1.9390719429665315,1.1661903789690602,11.253443917308159,6.20966987850401
24,-4.6,-3.6,-5.4,-1.6,-4.2,-0.8,5.238320341483519,5.0039984012787215,3.9293765408777004,1.9595917942265424,7.249827584156744,1.7204650534085255
25,-2.4,-2.2,-2.2,-3.8,-5.4,-2.8,3.555277766926235,3.370459909270544,2.4819347291981715,4.791659420284375,8.380930735902785,2.4819347291981715
26,-2.4,-2.6,-2.8,-2.8,-1.8,-1.6,4.029888335921977,5.425863986500215,5.635601121442148,7.6000000000000005,3.1874754901018454,2.4979991993593593
27,-2.8,-2.2,-2.2,-1.6,-0.6,-5.2,3.9698866482558417,3.1874754901018454,3.655133376499413,1.854723699099141,2.244994432064365,5.418486873657627
28,-3.2,-1.8,-3.2,-2.4,0.2,-2.6,4.445222154178573,2.1354156504062622,5.946427498927402,3.49857113690718,1.6000000000000003,3.6660605559646724
29,-2.4,-0.8,-3.6,-2.2,-0.2,0.2,4.223742416388575,1.7204650534085255,5.851495535331117,2.5612496949731396,1.9390719429665317,0.4
30,-8.2,-0.8,-0.8,-0.8,-3.2,-7.0,8.158431221748456,1.469693845669907,2.1354156504062622,0.9797958971132712,4.261455150532504,7.771743691090179
31,-3.6,-3.8,-0.8,-0.6,0.2,-1.8,4.454211490264018,5.192301994298868,2.638181191654584,1.3564659966250536,0.7483314773547883,2.7856776554368237
32,-7.6,-0.2,-4.4,-2.6,-0.4,-2.0,5.0039984012787215,1.1661903789690602,3.4409301068170506,3.8781438859330635,1.8547236990991407,2.6076809620810595
33,-2.2,-8.0,-1.6,-4.6,0.4,-0.6,3.1874754901018454,6.356099432828281,2.870540018881465,3.6660605559646724,0.7999999999999999,1.8547236990991407
34,-1.2,0.0,-4.0,-0.8,-1.8,-3.8,2.9933259094191533,0.6324555320336759,4.049691346263317,1.8330302779823362,3.4292856398964497,4.578209256903839
35,-2.0,-3.8,-1.2,-1.8,-1.8,-2.0,2.1908902300206643,6.368673331236262,3.919183588453085,5.1146847410177685,1.9390719429665317,3.521363372331802
36,-2.2,-3.4,-2.8,-0.4,-1.8,-0.6,4.166533331199932,5.817215828899594,3.8157568056677826,1.9595917942265424,4.166533331199932,2.244994432064365
37,-2.0,0.0,-1.4,-2.8,-1.0,-7.0,2.1908902300206643,0.0,2.244994432064365,2.1354156504062622,3.03315017762062,11.882760622010357
38,0.4,-5.4,-1.6,-8.4,-0.6,0.0,0.7999999999999999,4.586937976471886,2.0591260281974,9.090654541890808,1.019803902718557,0.6324555320336759
39,-3.2,-6.6,-7.4,-4.6,-4.0,-6.4,5.979966555090422,7.472616676907761,8.404760555780278,5.748043145279966,3.847076812334269,8.499411744350311
40,-2.2,-3.0,-2.2,-3.6,-0.8,-3.6,2.9257477676655586,4.09878030638384,3.4292856398964497,3.3823069050575527,2.227105745132009,6.280127387243033
41,-3.2,-4.0,0.2,-2.6,-4.0,-3.8,5.03587132480567,5.176871642217914,0.7483314773547883,5.238320341483519,6.870225614927067,7.166589146867566
42,-2.6,-1.4,-1.6,-1.6,-2.4,-4.2,4.800000000000001,2.576819745345025,4.715930449020639,4.223742416388576,2.939387691339814,6.910861017268399
43,-6.4,-2.8,-5.0,-4.0,-0.4,-2.8,10.49952379872535,2.4819347291981715,6.81175454637056,7.127411872482185,1.2000000000000002,3.4292856398964493
44,-2.8,-2.4,-4.2,-0.6,0.2,-3.6,5.81033561853358,3.49857113690718,2.7856776554368237,2.3323807579381204,0.9797958971132713,5.388877434122992
45,-0.2,-0.8,-1.6,-0.2,-2.4,-1.0,2.4,1.6,2.0591260281974,1.4696938456699067,3.49857113690718,1.5491933384829668
46,-0.8,-1.8,-4.8,-1.8,-5.2,-2.0,2.227105745132009,2.039607805437114,5.381449618829484,2.3151673805580453,3.4871191548325386,3.63318042491699
47,-3.2,-2.2,-2.4,0.8,-2.0,-4.4,4.019950248448357,2.925747767665559,3.49857113690718,0.4000000000000001,1.2649110640673518,4.223742416388576
48,-1.6,-7.8,-6.0,0.0,-1.2,-3.0,2.4166091947189146,11.513470371699404,6.957010852370434,0.8944271909999159,2.039607805437114,4.33589667773576
49,-2.0,-2.8,-4.8,-7.4,-2.4,-0.6,4.049691346263317,3.9698866482558417,7.025667228100119,9.090654541890808,3.555277766926235,1.7435595774162693
50,-3.2,-4.2,-2.6,-10.0,-29.4,-14.4,5.5641710972974225,1.6,0.8,8.19756061276768,0.4898979485566356,3.0724582991474434
51,-2.6,-4.4,-1.0,-19.0,-10.8,-10.2,4.758150901348128,7.863841300535,2.0976176963403033,9.57078889120432,14.17603611733548,8.28009661779378
52,-4.0,-5.0,-8.6,-2.8,-17.6,-8.4,4.9396356140913875,4.898979485566356,4.963869458396342,3.7094473981982814,15.186836405255704,5.122499389946279
53,-1.2,-2.6,-5.0,-16.4,0.0,-13.2,2.5612496949731396,3.3823069050575527,5.059644256269407,10.150862032359617,1.0954451150103321,4.874423042781576
54,-1.0,-3.8,-1.8,-17.4,-6.0,-19.4,2.280350850198276,3.3105890714493698,4.621688003316537,9.93176721434811,12.016655108639842,7.002856560004639
55,-1.0,-2.2,-6.0,-12.2,0.8,-11.8,3.03315017762062,2.4,5.403702434442518,10.796295661012625,0.4,6.615134163416491
56,-0.6,-5.4,-4.6,-15.6,-5.6,-14.6,2.3323807579381204,3.2619012860600183,6.468384651518491,10.744300814850634,11.757550765359253,6.560487786742691
57,-4.2,-3.6,-1.6,-5.0,-6.0,-14.2,4.995998398718719,1.3564659966250538,3.7735924528226414,4.979959839195493,12.521980673998822,7.807688518377254
58,-0.4,-3.0,-5.8,-7.0,-4.8,-13.0,0.48989794855663565,2.0,5.635601121442148,9.38083151964686,11.6,6.2289646009589745
59,-2.0,-1.4,-6.4,-5.4,-11.0,-14.0,2.1908902300206643,3.0066592756745814,5.6780278266313555,9.850888284819803,14.38054240979804,6.418722614352485
60,0.6,-2.8,-7.6,-5.6,-5.6,-12.6,0.8,1.469693845669907,4.409081537009721,9.264987857520374,12.208193969625482,7.631513611335565
61,-2.6,-4.2,-2.8,-9.0,-4.6,-14.6,4.317406628984581,4.534313619501853,4.955804677345546,7.155417527999327,10.707007051459337,6.2801273872430325
62,-2.2,-8.6,-4.2,-2.0,-17.4,-15.4,2.9933259094191533,10.287856919689348,4.874423042781576,3.3466401061363023,15.02797391533536,4.758150901348127
63,-2.6,-3.4,-5.8,-5.6,-12.4,-12.0,4.029888335921977,4.454211490264018,5.30659966456864,9.769339793455849,14.786480311419618,5.830951894845301
64,-3.8,-2.0,-4.8,-5.6,-12.2,-12.6,2.4819347291981715,2.280350850198276,6.305553108173778,9.457272334029511,15.765785740013087,7.059745037889116
65,-2.6,-1.6,-6.0,-9.0,-11.8,-14.2,3.1368774282716245,2.8000000000000003,5.796550698475776,11.8490505948789,15.72768260107,6.368673331236263
66,-6.2,-3.4,-5.8,-8.8,0.6,-9.4,4.874423042781577,3.006659275674582,5.5641710972974225,8.818163074019441,0.48989794855663565,6.529931086925803
67,-3.4,-5.6,-4.4,-9.8,-5.8,-12.4,3.6110940170535573,7.939773296511683,5.462600113499065,11.634431657799189,12.12270596855339,4.127953488110059
68,-2.4,-3.2,-3.8,-10.2,-17.8,-12.8,5.817215828899594,4.621688003316537,5.564171097297422,11.391224692718513,14.945233353815523,6.04648658313239
69,-2.8,-2.6,-3.2,-9.2,-10.6,-15.4,6.11228271597445,2.4166091947189146,4.261455150532504,12.496399481450647,13.54400236266961,3.3823069050575527
70,0.6,-3.6,-3.2,-6.0,-17.4,-9.6,0.48989794855663565,2.154065922853802,4.4,9.09945053286186,14.840485167271318,6.590902821313632
71,-8.4,-1.2,-6.8,-5.6,0.6,-13.8,6.6513156593263565,1.1661903789690604,7.6262703859750465,9.871170143402452,0.48989794855663565,4.707440918375928
72,-1.2,-2.2,-4.6,-8.4,-11.8,-18.2,2.0396078054371136,2.6381811916545836,4.882622246293481,11.18212859879549,14.864723340849636,5.844655678480983
73,-0.8,-3.4,-7.6,-10.8,-10.2,-11.6,1.8330302779823362,2.244994432064365,4.079215610874228,11.7881296226331,12.576167937809991,5.9531504264548865
74,-4.0,-1.0,-4.8,-9.8,-23.6,-16.8,6.752777206453653,2.1908902300206643,5.3814496188294845,12.023310692151309,11.586198686368192,6.615134163416491
75,-1.6,-2.2,-8.8,-11.2,-4.6,-13.6,2.4979991993593593,1.7204650534085253,6.584831053261731,8.23164625090267,11.2,5.885575587824865
76,-1.4,-3.6,-5.6,-10.6,-18.8,-14.4,3.8262252939417984,3.4985711369071804,5.0039984012787215,12.306096050332128,15.778466338652818,5.4626001134990645
77,-3.8,-2.4,-7.4,-13.4,-0.6,-17.0,4.1182520563948,3.49857113690718,4.2708313008125245,11.77454882362802,2.7276363393971716,2.1908902300206643
78,0.2,-2.6,-9.4,-12.4,-18.0,-16.2,0.7483314773547883,2.154065922853802,3.1999999999999997,10.87382177525455,13.62350909274112,6.734983296193095
79,-0.6,-2.4,-0.8,0.4,-6.4,-13.6,2.0591260281974,2.4166091947189146,1.7204650534085255,1.2000000000000002,11.516944039110376,5.6780278266313555
80,0.4,-3.8,-5.2,-8.8,-11.8,-13.0,0.7999999999999999,3.655133376499413,4.354308211415448,9.086253353280437,15.276125163142648,5.0990195135927845
81,-4.6,-3.0,0.2,-11.6,-18.4,-12.6,5.571355310873648,2.6076809620810595,1.1661903789690602,10.892199043352083,15.041276541570532,5.0039984012787215
82,-5.0,-1.8,-4.4,-14.2,-5.4,-15.2,3.63318042491699,2.4819347291981715,5.571355310873648,8.280096617793781,12.30609605033213,5.706137047074843
83,-4.4,-2.6,-5.4,-12.2,-12.6,-14.6,6.248199740725324,3.2,6.406246951218787,10.419213022104884,15.107613974417006,3.8781438859330635
84,-1.8,-2.4,-4.8,-10.4,-18.2,-18.4,1.9390719429665317,2.1540659228538015,6.305553108173778,11.128342194594845,15.276125163142648,3.826225293941798
85,-4.4,-7.0,-3.6,-5.4,-11.8,-16.4,2.870540018881465,8.717797887081348,6.118823416311342,10.403845442911964,15.276125163142648,3.8262252939417984
86,-1.2,-1.8,-6.4,-1.0,-28.4,-16.2,2.0396078054371136,2.227105745132009,5.678027826631356,2.0976176963403033,3.7735924528226414,3.249615361854384
87,-3.2,-1.6,-6.8,-2.8,-25.0,-10.4,3.867815921162743,1.9595917942265426,5.979966555090421,4.791659420284375,13.007690033207279,5.238320341483519
88,-2.4,-3.8,-4.6,-11.0,-5.8,-10.8,2.8,3.0594117081556713,5.238320341483518,13.16054710108968,12.155657119218196,6.675327707311455
89,0.8,-2.2,-1.6,-10.2,-6.8,-12.0,0.4000000000000001,2.925747767665559,4.715930449020639,11.356055653262711,11.805083650698965,7.5099933422074345
90,-3.4,-1.6,-5.2,-14.6,-29.6,-11.4,5.571355310873648,1.7435595774162693,4.578209256903839,11.534296684236972,0.4898979485566356,7.552483035399682
91,-0.8,-6.8,-3.2,-0.2,-18.8,-10.2,3.124099870362662,6.968500556073738,4.019950248448356,1.9390719429665317,14.945233353815523,5.491812087098393
92,-0.8,-2.8,-6.4,-4.4,-6.4,-7.8,3.6000000000000005,1.9390719429665317,5.043808085167397,9.830564581955608,11.84229707446997,7.547184905645283
93,-11.2,-3.2,-5.8,-13.0,-12.0,-16.0,9.947864092356712,3.6000000000000005,5.706137047074843,10.13903348450926,15.11290838985005,7.6681158050723255
94,0.4,-4.6,-7.4,0.4,-18.4,-14.6,0.48989794855663565,4.498888751680797,7.059745037889116,0.7999999999999999,14.207040508142432,4.079215610874228
95,-4.0,-7.8,-5.2,-9.8,0.6,-17.8,4.427188724235731,4.166533331199932,4.833218389437829,13.242356285797479,0.48989794855663565,2.7856776554368237
96,-5.2,-3.2,-2.8,-4.4,-7.0,-16.4,3.655133376499413,3.6,5.3065996645686395,6.8,9.316651759081692,5.851495535331117
97,-1.2,-4.0,-7.0,-7.0,-24.2,-12.4,2.4,3.03315017762062,4.774934554525329,9.85900603509299,11.6,6.468384651518491
98,-0.4,-4.8,-6.2,-9.4,-18.2,-13.8,1.019803902718557,3.6551333764994136,5.912698199637792,11.92644121270046,15.276125163142648,6.734983296193095
99,-2.0,-6.0,-3.6,0.0,-22.8,-11.6,4.049691346263317,7.8230428862431785,3.97994974842648,1.5491933384829668,11.548160026601641,7.605261336732617
